timestamp,raw
2026-05-20T13:43:35,Particles > 1.0um / 0.1L air:66
2026-05-20T13:43:35,Particles > 2.5um / 0.1L air:6
2026-05-20T13:43:35,Particles > 5.0um / 0.1L air:0
2026-05-20T13:43:35,Particles > 10.0 um / 0.1L air:0
2026-05-20T13:44:35,-----------------------------------------
2026-05-20T13:44:36,PM 1.0:3
2026-05-20T13:44:36,PM 2.5:6
2026-05-20T13:44:36,PM  10:6
2026-05-20T13:44:36,PM 1.0:3
2026-05-20T13:44:36,PM 2.5:6
2026-05-20T13:44:36,PM  10:6
2026-05-20T13:44:36,Particles > 0.3um / 0.1L air:414
2026-05-20T13:44:36,Particles > 0.5um / 0.1L air:355
2026-05-20T13:44:36,Particles > 1.0um / 0.1L air:72
2026-05-20T13:44:36,Particles > 2.5um / 0.1L air:6
2026-05-20T13:44:36,Particles > 5.0um / 0.1L air:0
2026-05-20T13:44:36,Particles > 10.0 um / 0.1L air:0
2026-05-20T13:45:38,-----------------------------------------
2026-05-20T13:45:39,PM 1.0:2
2026-05-20T13:45:39,PM 2.5:6
2026-05-20T13:45:39,PM  10:7
2026-05-20T13:45:39,PM 1.0:2
2026-05-20T13:45:39,PM 2.5:6
2026-05-20T13:45:39,PM  10:7
2026-05-20T13:45:39,Particles > 0.3um / 0.1L air:399
2026-05-20T13:45:39,Particles > 0.5um / 0.1L air:336
2026-05-20T13:45:39,Particles > 1.0um / 0.1L air:68
2026-05-20T13:45:39,Particles > 2.5um / 0.1L air:12
2026-05-20T13:45:39,Particles > 5.0um / 0.1L air:0
2026-05-20T13:45:39,Particles > 10.0 um / 0.1L air:0
2026-05-20T13:46:38,-----------------------------------------
2026-05-20T13:46:39,PM 1.0:2
2026-05-20T13:46:39,PM 2.5:6
2026-05-20T13:46:39,PM  10:7
2026-05-20T13:46:39,PM 1.0:2
2026-05-20T13:46:39,PM 2.5:6
